9968,37,-32
9968,37,-31
9968,37,-30
9968,37,-29
9968,37,-28
9968,37,-27
9968,37,-26
9968,37,-25
9968,37,-24
9968,37,-23
9968,37,-22
9968,37,-21
9968,37,-20
9968,37,-19
9968,37,-18
9968,37,-17
9968,37,-16
9968,37,-15
9968,37,-14
9968,37,-13
9968,37,-12
9968,37,-11
9968,37,-10
9968,37,-9
9968,37,-8
9968,37,-7
9968,37,-6
9968,37,-5
9968,37,-4
9968,37,-3
9968,37,-2
9968,37,-1
9968,37,0
9968,37,1
9968,37,2
9968,37,3
9968,37,4
9968,37,5
9968,37,6
9968,37,7
9968,37,8
9968,37,9
9968,37,10
9968,37,11
9968,37,12
9968,37,13
9968,37,14
9968,37,15
9968,37,16
9968,37,17
9968,37,18
9968,37,19
9968,37,20
9968,37,21
9968,37,22
9968,37,23
9968,37,24
9968,37,25
9968,37,26
9968,37,27
9968,37,28
9968,37,29
9968,37,30
9968,37,31
9968,37,32
9969,37,-32
9969,37,32
9970,37,-32
9970,37,32
9971,37,-32
9971,37,32
9972,37,-32
9972,37,32
9973,37,-32
9973,37,32
9974,37,-32
9974,37,32
9975,37,-32
9975,37,32
9976,37,-32
9976,37,32
9977,37,-32
9977,37,32
9978,37,-32
9978,37,32
9979,37,-32
9979,37,32
9980,37,-32
9980,37,32
9981,37,-32
9981,37,32
9982,37,-32
9982,37,32
9983,37,-32
9983,37,32
9984,37,-32
9984,37,32
9985,37,-32
9985,37,32
9986,37,-32
9986,37,32
9987,37,-32
9987,37,32
9988,37,-32
9988,37,32
9989,37,-32
9989,37,32
9990,37,-32
9990,37,32
9991,37,-32
9991,37,32
9992,37,-32
9992,37,32
9993,37,-32
9993,37,32
9994,37,-32
9994,37,32
9995,37,-32
9995,37,32
9996,37,-32
9996,37,32
9997,37,-32
9997,37,32
9998,37,-32
9998,37,32
9999,37,-32
9999,37,32
10000,37,-32
10000,37,32
10001,37,-32
10001,37,32
10002,37,-32
10002,37,32
10003,37,-32
10003,37,32
10004,37,-32
10004,37,32
10005,37,-32
10005,37,32
10006,37,-32
10006,37,32
10007,37,-32
10007,37,32
10008,37,-32
10008,37,32
10009,37,-32
10009,37,32
10010,37,-32
10010,37,32
10011,37,-32
10011,37,32
10012,37,-32
10012,37,32
10013,37,-32
10013,37,32
10014,37,-32
10014,37,32
10015,37,-32
10015,37,32
10016,37,-32
10016,37,32
10017,37,-32
10017,37,32
10018,37,-32
10018,37,32
10019,37,-32
10019,37,32
10020,37,-32
10020,37,32
10021,37,-32
10021,37,32
10022,37,-32
10022,37,32
10023,37,-32
10023,37,32
10024,37,-32
10024,37,32
10025,37,-32
10025,37,32
10026,37,-32
10026,37,32
10027,37,-32
10027,37,32
10028,37,-32
10028,37,32
10029,37,-32
10029,37,32
10030,37,-32
10030,37,32
10031,37,-32
10031,37,32
10032,37,-32
10032,37,-31
10032,37,-30
10032,37,-29
10032,37,-28
10032,37,-27
10032,37,-26
10032,37,-25
10032,37,-24
10032,37,-23
10032,37,-22
10032,37,-21
10032,37,-20
10032,37,-19
10032,37,-18
10032,37,-17
10032,37,-16
10032,37,-15
10032,37,-14
10032,37,-13
10032,37,-12
10032,37,-11
10032,37,-10
10032,37,-9
10032,37,-8
10032,37,-7
10032,37,-6
10032,37,-5
10032,37,-4
10032,37,-3
10032,37,-2
10032,37,-1
10032,37,0
10032,37,1
10032,37,2
10032,37,3
10032,37,4
10032,37,5
10032,37,6
10032,37,7
10032,37,8
10032,37,9
10032,37,10
10032,37,11
10032,37,12
10032,37,13
10032,37,14
10032,37,15
10032,37,16
10032,37,17
10032,37,18
10032,37,19
10032,37,20
10032,37,21
10032,37,22
10032,37,23
10032,37,24
10032,37,25
10032,37,26
10032,37,27
10032,37,28
10032,37,29
10032,37,30
10032,37,31
10032,37,32
